event_time,event_type,product_id,price,user_id,user_session
2023-02-01 00:11:08 UTC,view,5839232,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:11:29 UTC,view,5755875,10.32,588406471,9480a801-d467-488b-8368-03cd5423312c
2023-02-01 00:11:30 UTC,view,39956,2.86,558637512,f16a8f39-671a-4a83-a7fa-fc69148afe6d
2023-02-01 00:11:44 UTC,view,5869086,7.62,573521387,f19687c4-c4ec-45ac-b23b-bc2e47ca75d5
2023-02-01 00:12:03 UTC,view,5842669,14.51,608823701,6534d827-2696-43ad-b07f-f0de1a978f43
2023-02-01 00:12:06 UTC,cart,5615144,4.76,608822992,d6e7f8a4-fa29-4dd7-8920-49394b58c764
2023-02-01 00:12:09 UTC,view,5885631,15.48,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2023-02-01 00:12:16 UTC,view,5885630,31.35,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2023-02-01 00:12:25 UTC,cart,5783987,4.75,608822992,d6e7f8a4-fa29-4dd7-8920-49394b58c764
2023-02-01 00:12:26 UTC,view,5839207,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:12:30 UTC,view,5724670,2.48,558432692,00ee796d-73dc-42be-989f-65db261b087a
2023-02-01 00:12:38 UTC,cart,5724670,2.48,558432692,00ee796d-73dc-42be-989f-65db261b087a
2023-02-01 00:12:40 UTC,view,5924482,0.0,579927966,46140b11-fc78-4a3e-bce5-caec0a991bd3
2023-02-01 00:12:42 UTC,cart,5862936,0.79,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2023-02-01 00:12:44 UTC,cart,5842139,1.59,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2023-02-01 00:12:52 UTC,remove_from_cart,5849033,10.32,558432692,00ee796d-73dc-42be-989f-65db261b087a
2023-02-01 00:12:52 UTC,remove_from_cart,5849033,10.32,558432692,00ee796d-73dc-42be-989f-65db261b087a
2023-02-01 00:12:53 UTC,remove_from_cart,5751383,10.32,558432692,00ee796d-73dc-42be-989f-65db261b087a
2023-02-01 00:12:53 UTC,view,5814516,13.49,608823799,e2dbb130-aa8d-456c-849b-d328cca623d6
2023-02-01 00:12:57 UTC,view,5839197,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:13:13 UTC,view,5649302,7.78,491436970,30c7a478-96b1-4c6b-8068-5032725ef729
2023-02-01 00:13:21 UTC,view,5794757,5.4,608822554,f19cc33d-5a0d-4a7c-9518-cece178f6b2f
2023-02-01 00:13:28 UTC,view,5904008,5.54,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:13:31 UTC,cart,5851608,1.75,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2023-02-01 00:13:44 UTC,view,5845583,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2023-02-01 00:13:46 UTC,cart,5864736,1.59,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2023-02-01 00:13:48 UTC,view,5541652,8.37,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2023-02-01 00:13:49 UTC,cart,5724573,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:13:49 UTC,cart,5864737,1.59,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2023-02-01 00:13:58 UTC,cart,5886754,1.59,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2023-02-01 00:13:59 UTC,cart,5886754,1.59,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2023-02-01 00:14:07 UTC,view,5706901,9.52,379669931,3bccb453-14db-4a1f-99ad-64c8d54f203c
2023-02-01 00:14:15 UTC,cart,5914942,1.75,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2023-02-01 00:14:20 UTC,cart,5811667,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:14:23 UTC,cart,5914943,1.75,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2023-02-01 00:14:24 UTC,cart,5811668,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:14:25 UTC,view,5862313,0.79,431941255,29d6c2ee-2d7a-4246-9615-8e27890501a8
2023-02-01 00:14:33 UTC,cart,5842143,1.59,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2023-02-01 00:14:45 UTC,view,5697535,2.86,608306625,fe26c378-86d6-4b03-aa3d-702d2c012371
2023-02-01 00:14:55 UTC,remove_from_cart,5851608,1.75,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2023-02-01 00:14:55 UTC,view,5820725,2.22,608404161,b171625c-0bff-439d-999e-569b905275e9
2023-02-01 00:14:56 UTC,remove_from_cart,5851608,1.75,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2023-02-01 00:14:59 UTC,view,5862943,0.79,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:15:03 UTC,cart,5778189,3.81,431941255,29d6c2ee-2d7a-4246-9615-8e27890501a8
2023-02-01 00:15:08 UTC,view,5914942,1.75,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2023-02-01 00:15:09 UTC,cart,5844395,2.38,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2023-02-01 00:15:09 UTC,view,5906122,0.79,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:15:12 UTC,cart,5904549,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:15:12 UTC,view,5862943,0.79,566772217,45a5b5db-3813-4e78-bd92-3e789f47b5ff
2023-02-01 00:15:14 UTC,view,5824227,13.49,608745703,a0b5c1e5-2a9f-49c4-9b42-3db20c3fe218
2023-02-01 00:15:21 UTC,cart,5904552,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2023-02-01 00:15:28 UTC,cart,5788426,2.86,558637512,f16a8f39-671a-4a83-a7fa-fc69148afe6d
2023-02-01 00:15:30 UTC,view,5811708,2.48,585409344,299e0df4-cce9-47db-a9be-46437fda3136
